10,28,Vesce,Tare
10,29,Blé,Wheat
10,30,Chalémie,Shawm
11,1,Épeautre,Spelt
11,2,Bouillon blanc,Common mullein
11,3,Melon,Melon
11,4,Ivraie,Ryegrass
11,5,Bélier,Ram
11,6,Prêle,Horsetail
11,7,Armoise,Mugwort
11,8,Carthame,Safflower
11,9,Mûre,Blackberry
11,10,Arrosoir,Watering can
11,11,Panic,Switchgrass
11,12,Salicorne,Common Glasswort
11,13,Abricot,Apricot
11,14,Basilic,Basil
11,15,Brebis,Ewe
11,16,Guimauve,Marshmallow
11,17,Lin,Flax
11,18,Amande,Almond
11,19,Gentiane,Gentian
11,20,Écluse,Lock
11,21,Carline,Carline thistle
11,22,Câprier,Caper
11,23,Lentille,Lentil
11,24,Aunée,Inula
11,25,Loutre,Otter
11,26,Myrte,Myrtle
11,27,Colza,Rapeseed
11,28,Lupin,Lupin
11,29,Coton,Cotton
11,30,Moulin,Mill
12,1,Prune,Plum
12,2,Millet,Millet
12,3,Lycoperdon,Puffball
12,4,Escourgeon,Six-row Barley
12,5,Saumon,Salmon
12,6,Tubéreuse,Tuberose
12,7,Sucrion,Winter Barley
12,8,Apocyn,Apocynum
12,9,Réglisse,Liquorice
12,10,Échelle,Ladder
12,11,Pastèque,Watermelon
12,12,Fenouil,Fennel
12,13,Épine vinette,Barberry
12,14,Noix,Walnut
12,15,Truite,Trout
12,16,Citron,Lemon
12,17,Cardère,Teasel
12,18,Nerprun,Buckthorn
12,19,Tagette,Mexican Marigold
12,20,Hotte,Harvesting basket
12,21,Églantier,Wild Rose
12,22,Noisette,Hazelnut
12,23,Houblon,Hops
12,24,Sorgho,Sorghum
12,25,Écrevisse,Crayfish
12,26,Bigarade,Bitter orange
12,27,Verge d'or,Goldenrod
12,28,Maïs,Maize or Corn
12,29,Marron,Sweet Chestnut
12,30,Panier,Pack Basket
13,1,La Fête de la Vertu,Celebration of Virtue
13,2,La Fête du Génie,Celebration of Talent
13,3,La Fête du Travail,Celebration of Labour
13,4,La Fête de l'Opinion,Celebration of Convictions
13,5,La Fête des Récompenses,Celebration of Honors
13,6,La Fête de la Révolution,Celebration of the Revolution
